date,open,close,low,high,volume,Adj Close
19-03-2007,1000,947.8,940,1105,63128585.34,1000
20-03-2007,957.8,942.39,940.05,957.8,24674935.1,947.8
21-03-2007,948,945.67,944.1,948.5,12035364.29,942.39
22-03-2007,950,950.15,946,951.9,9859948.45,945.67
23-03-2007,950,947.18,945,951,13198594.08,950.15
26-03-2007,945,940.71,940,945,6039495.2,947.18
28-03-2007,944.98,943.65,941.1,948,4433336.41,940.71
29-03-2007,944.86,946.9,942.05,948.45,3487996.96,943.65
30-03-2007,948,947.05,945.01,948,2619669.38,946.9
02-04-2007,950,944.82,942.3,951.4,1839761.86,947.05
03-04-2007,945.82,940.38,930,945.95,17083546.93,944.82
04-04-2007,941,939.62,937.75,941,3496208.17,940.38
05-04-2007,949,946.37,944.9,949,4451168.87,939.62
09-04-2007,945.1,945.83,944.05,947,2129655.57,946.37
10-04-2007,945.83,948.79,945.83,952.98,1953821.89,945.83
11-04-2007,937.1,948.89,937.1,950.5,2019600.05,948.79
12-04-2007,949.99,948.18,947,951,2763421.5,948.89
13-04-2007,948,948.41,947.01,950.99,2365161.03,948.18
16-04-2007,952,949.41,948.1,958,5737103.12,948.41
17-04-2007,949.41,943.37,942.05,957.5,7832788.05,949.41
18-04-2007,941.51,946.23,941.51,947.89,2561541.05,943.37
19-04-2007,954.4,951.35,949.95,965,34827682.86,946.23
20-04-2007,969.95,946.9,945.1,969.95,38291615.34,951.35
23-04-2007,947.01,946.2,945.01,952.4,2328806.16,946.9
24-04-2007,946.2,934.51,931,946.5,11751893.13,946.2
25-04-2007,935,928.09,926.1,937,6567064.77,934.51
26-04-2007,930,921.87,921,930,7475913.56,928.09
27-04-2007,920,910.08,908.65,920,14355055.28,921.87
30-04-2007,919.89,921.58,915.45,924,3145104.8,910.08
03-05-2007,921,914.63,913.01,921,6421343.24,921.58
04-05-2007,918,917.15,912,918.6,8439057.53,914.63
07-05-2007,939.97,920.8,918,939.97,2223818.85,917.15
08-05-2007,921,921.26,915,924,1946123.76,920.8
09-05-2007,920,921.3,912.01,924,1703706.17,921.26
10-05-2007,921.3,916.08,915.1,921.5,2797056.19,921.3
11-05-2007,895,907.5,895,915,8185691.11,916.08
14-05-2007,912,908.3,907.5,912,4932419.04,907.5
15-05-2007,904,898.07,897.1,905,12032531.71,908.3
16-05-2007,898.07,901.55,898.07,914.45,4400493.11,898.07
17-05-2007,887,890.62,887,895,15546066.73,901.55
18-05-2007,890,888.93,884.5,890,18002587.71,890.62
21-05-2007,888,885.22,884,889.94,16018938.23,888.93
22-05-2007,888,885.44,883,888,10081476.32,885.22
23-05-2007,883.15,879.76,878,884.95,18171614.55,885.44
24-05-2007,885,882.09,881,885,7736701.53,879.76
25-05-2007,877,875.39,872,879,13692831.15,882.09
28-05-2007,877,875.84,871,877,14009834.76,875.39
29-05-2007,875.84,876.74,872.6,882.2,7074649.21,875.84
30-05-2007,876.74,878.8,876.74,880.99,5315041.06,876.74
31-05-2007,879.99,878.85,878.45,881.98,4758430.92,878.8
01-06-2007,878.85,883.69,878.85,887,5642800.73,878.85
04-06-2007,883.69,889.31,883.69,891.92,7304517.45,883.69
05-06-2007,894.7,892.78,890,896.99,17336596.41,889.31
06-06-2007,894.95,895.91,890,896.78,30461965.01,892.78
07-06-2007,980,894.27,890.25,980,6658241.97,895.91
